source_object,evidence_id,graph_object_type,graph_object_id,ir_object_id,question_or_decision,generated_code_location,validation_result
Architecture Diagram to IaC Compiler.pptx:slide5.xml:26,ev-bd6caefdc037b3c0,node,ev-bd6caefdc037b3c0,,question:DECORATIVE_SHAPE_UNLABELED,,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:27,ev-f40f6c83f72d09f2,node,ev-f40f6c83f72d09f2,,question:DECORATIVE_SHAPE_UNLABELED,,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:28,ev-9a67d2d37b41d695,node,ev-9a67d2d37b41d695,ev-9a67d2d37b41d695,none,main.bicep#L371,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:29,ev-67ff09f5d58945d9,node,ev-67ff09f5d58945d9,,none,,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:30,ev-38fbb44d8b75b83c,node,ev-38fbb44d8b75b83c,,question:DECORATIVE_SHAPE_UNLABELED,,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:32,ev-7cbc88cd96c6a8ed,node,ev-7cbc88cd96c6a8ed,ev-7cbc88cd96c6a8ed,none,main.bicep#L379,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:33,ev-0dc9d5f8e42a0c50,edge,ev-0dc9d5f8e42a0c50,,question:LOW_EDGE_CONFIDENCE,main.bicep#L1343,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:34,ev-d3f2336541638193,edge,ev-d3f2336541638193,,question:LOW_EDGE_CONFIDENCE,main.bicep#L1349,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:35,ev-479fc7cd3ac042eb,edge,ev-479fc7cd3ac042eb,,question:LOW_EDGE_CONFIDENCE,main.bicep#L1355,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:36,ev-af400eeedec84811,edge,ev-af400eeedec84811,,question:LOW_EDGE_CONFIDENCE,main.bicep#L1361,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:37,ev-c9ebf808e829bb47,node,ev-c9ebf808e829bb47,,none,,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:38,ev-def548715a59fe18,node,ev-def548715a59fe18,,none,,passed
Architecture Diagram to IaC Compiler.pptx:slide5.xml:39,ev-bfaa62f36ecfa898,node,ev-bfaa62f36ecfa898,,none,,passed
Architecture Diagram to IaC Compiler.pptx:slide6.xml:2,ev-1ef91e1a18ac9006,node,ev-1ef91e1a18ac9006,,question:DECORATIVE_SHAPE_UNLABELED,,passed
Architecture Diagram to IaC Compiler.pptx:slide6.xml:3,ev-4d866af59abba1cb,node,ev-4d866af59abba1cb,,question:DECORATIVE_SHAPE_UNLABELED,,passed
Architecture Diagram to IaC Compiler.pptx:slide6.xml:4,ev-2bd11f77ffd2493c,node,ev-2bd11f77ffd2493c,,none,,passed
Architecture Diagram to IaC Compiler.pptx:slide6.xml:5,ev-faad14ddb89f2b53,node,ev-faad14ddb89f2b53,,none,,passed
Architecture Diagram to IaC Compiler.pptx:slide6.xml:6,ev-7cc2094f7d3eecb3,node,ev-7cc2094f7d3eecb3,,question:DECORATIVE_SHAPE_UNLABELED,,passed
Architecture Diagram to IaC Compiler.pptx:slide6.xml:7,ev-8ff3bd86606ac63b,node,ev-8ff3bd86606ac63b,,question:DECORATIVE_SHAPE_UNLABELED,,passed
Architecture Diagram to IaC Compiler.pptx:slide6.xml:9,ev-ebbd478b8f7a2849,node,ev-ebbd478b8f7a2849,ev-ebbd478b8f7a2849,none,main.bicep#L387,passed
Architecture Diagram to IaC Compiler.pptx:slide6.xml:10,ev-4cc61d10faeba673,node,ev-4cc61d10faeba673,,none,,passed
Architecture Diagram to IaC Compiler.pptx:slide6.xml:11,ev-8f6d3ac82f23d582,node,ev-8f6d3ac82f23d582,,question:DECORATIVE_SHAPE_UNLABELED,,passed
Architecture Diagram to IaC Compiler.pptx:slide6.xml:12,ev-2210a15d0c2d50aa,node,ev-2210a15d0c2d50aa,,question:DECORATIVE_SHAPE_UNLABELED,,passed
Architecture Diagram to IaC Compiler.pptx:slide6.xml:14,ev-703d62295cf7cc42,node,ev-703d62295cf7cc42,ev-703d62295cf7cc42,none,main.bicep#L395,passed
Architecture Diagram to IaC Compiler.pptx:slide6.xml:15,ev-9df26abbbe9810f5,node,ev-9df26abbbe9810f5,,none,,passed
Architecture Diagram to IaC Compiler.pptx:slide6.xml:16,ev-1b819653cc02bd8d,node,ev-1b819653cc02bd8d,,question:DECORATIVE_SHAPE_UNLABELED,,passed
